filename,n64000_m4000__greedy_explore
random_i0_n64000_m4000.hgr,1059.0
random_i10_n64000_m4000.hgr,1081.0
random_i11_n64000_m4000.hgr,1061.0
random_i12_n64000_m4000.hgr,1076.0
random_i13_n64000_m4000.hgr,1052.0
random_i14_n64000_m4000.hgr,1055.0
random_i15_n64000_m4000.hgr,1051.0
random_i16_n64000_m4000.hgr,1069.0
random_i17_n64000_m4000.hgr,1041.0
random_i18_n64000_m4000.hgr,1049.0
random_i19_n64000_m4000.hgr,1048.0
random_i1_n64000_m4000.hgr,1063.0
random_i20_n64000_m4000.hgr,1058.0
random_i21_n64000_m4000.hgr,1049.0
random_i22_n64000_m4000.hgr,1042.0
random_i23_n64000_m4000.hgr,1044.0
random_i24_n64000_m4000.hgr,1060.0
random_i25_n64000_m4000.hgr,1055.0
random_i26_n64000_m4000.hgr,1055.0
random_i27_n64000_m4000.hgr,1043.0
random_i28_n64000_m4000.hgr,1077.0
random_i29_n64000_m4000.hgr,1031.0
random_i2_n64000_m4000.hgr,1056.0
random_i3_n64000_m4000.hgr,1049.0
random_i4_n64000_m4000.hgr,1063.0
random_i5_n64000_m4000.hgr,1040.0
random_i6_n64000_m4000.hgr,1055.0
random_i7_n64000_m4000.hgr,1054.0
random_i8_n64000_m4000.hgr,1047.0
random_i9_n64000_m4000.hgr,1027.0
AVERAGE,1053.6666666666667
